session,site,species_order,family,binomial,species,size_bin,size_bin_lengths,habitat,octocoral,stony,relief_cm,predator_presence,nocturnal,position,behavior,max_length,colouration,cryptic_behaviour,trophic_position,shape,SVC_date,SVC_max_depth,SVC_abundance,SVC_area,SVC_density,prey_date,prey_depth,prey_abundance,prey_area,prey_density,SVC_prey_difference,total_density,log_difference,average_depth
141,BISC-P12a,Perciformes,Pomacanthidae,Pomacanthus arcuatus,gray angelfish,2,7.533217,Patch,70,5,42.166666666666664,0,0,demersal,solitary,60,neutral,0,omnivore,compressiform,2014-09-16,15,0,78.53981634,0,2014-09-16,14.5,1,48,0.020833333333333332,-0.020833333333333332,0.020833333333333332,-3.0834378539730962,14.75
141,BISC-P12a,Perciformes,Gobiidae,Coryphopterus personatus,masked goby,1,3.63321,Patch,70,5,42.166666666666664,0,0,demersal,schooling,4,colourful,1,planktivore,elongated,2014-09-16,15,0,78.53981634,0,2014-09-16,14.5,10,48,0.20833333333333334,-0.20833333333333334,0.20833333333333334,-5.3439278778000885,14.75
141,BISC-P12a,Perciformes,Pomacanthidae,Holacanthus ciliaris,queen angelfish,3,12.91456,Patch,70,5,42.166666666666664,0,0,demersal,solitary,45,colourful,0,invertivore,compressiform,2014-09-16,15,0,78.53981634,0,2014-09-16,14.5,1,48,0.020833333333333332,-0.020833333333333332,0.020833333333333332,-3.0834378539730962,14.75
141,BISC-P12a,Perciformes,Epinephelidae,Epinephelus morio,red grouper,5,24.92844,Patch,70,5,42.166666666666664,1,0,demersal,solitary,125,neutral,1,carnivore,fusiform,2014-09-16,15,0,78.53981634,0,2014-09-16,14.5,1,48,0.020833333333333332,-0.020833333333333332,0.020833333333333332,-3.0834378539730962,14.75
141,BISC-P12a,Perciformes,Chaenopsidae,Acanthemblemaria aspera,roughhead blenny,1,3.63321,Patch,70,5,42.166666666666664,0,0,benthic,solitary,4,camouflage,1,invertivore,elongated,2014-09-16,15,0,78.53981634,0,2014-09-16,14.5,1,48,0.020833333333333332,-0.020833333333333332,0.020833333333333332,-3.0834378539730962,14.75
141,BISC-P12a,Perciformes,Synodontidae,Synodus intermedius,sand diver,5,24.92844,Patch,70,5,42.166666666666664,0,0,demersal,solitary,45,camouflage,1,carnivore,elongated,2014-09-16,15,0,78.53981634,0,2014-09-16,14.5,1,48,0.020833333333333332,-0.020833333333333332,0.020833333333333332,-3.0834378539730962,14.75
141,BISC-P12a,Tetraodontiformes,Tetraodontidae,Canthigaster rostrata,sharpnose puffer,2,7.533217,Patch,70,5,42.166666666666664,0,0,demersal,solitary,12,colourful,0,omnivore,globiform,2014-09-16,15,0,78.53981634,0,2014-09-16,14.5,1,48,0.020833333333333332,-0.020833333333333332,0.020833333333333332,-3.0834378539730962,14.75
141,BISC-P12a,Perciformes,Labridae,Halichoeres bivittatus,slippery dick,3,12.91456,Patch,70,5,42.166666666666664,0,0,demersal,shoaling,35,colourful,0,carnivore,elongated,2014-09-16,15,0,78.53981634,0,2014-09-16,14.5,2,48,0.041666666666666664,-0.041666666666666664,0.041666666666666664,-3.7534179752515073,14.75
141,BISC-P12a,Perciformes,Labridae,Sparisoma viride,stoplight parrotfish,2,7.533217,Patch,70,5,42.166666666666664,0,0,demersal,shoaling,50,colourful,0,omnivore,fusiform,2014-09-16,15,0,78.53981634,0,2014-09-16,14.5,3,48,0.0625,-0.0625,0.0625,-4.151039905898646,14.75
141,BISC-P12a,Perciformes,Labridae,Scarus iseri,striped parrotfish,3,12.91456,Patch,70,5,42.166666666666664,0,0,demersal,shoaling,35,colourful,0,herbivore,fusiform,2014-09-16,15,0,78.53981634,0,2014-09-16,14.5,1,48,0.020833333333333332,-0.020833333333333332,0.020833333333333332,-3.0834378539730962,14.75
141,BISC-P12a,Perciformes,Haemulidae,Haemulon plumierii,white grunt,1,3.63321,Patch,70,5,42.166666666666664,0,0,demersal,schooling,59,silvering,0,carnivore,compressiform,2014-09-16,15,0,78.53981634,0,2014-09-16,14.5,1,48,0.020833333333333332,-0.020833333333333332,0.020833333333333332,-3.0834378539730962,14.75
141,BISC-P12a,Perciformes,Haemulidae,Haemulon plumierii,white grunt,3,12.91456,Patch,70,5,42.166666666666664,0,0,demersal,schooling,59,silvering,0,carnivore,compressiform,2014-09-16,15,0,78.53981634,0,2014-09-16,14.5,21,48,0.4375,-0.4375,0.4375,-6.083359811812238,14.75
142,BISC-P13a,Perciformes,Labridae,Thalassoma bifasciatum,bluehead wrasse,1,3.63321,Patch,80,5,49.07692307692308,0,0,demersal,shoaling,25,colourful,0,planktivore,fusiform,2014-09-16,20,1,153.93804,0.006496120127292773,2014-09-16,16,0,120,0,0.006496120127292773,0.006496120127292773,2.0143855703270273,18
142,BISC-P13a,Perciformes,Labridae,Sparisoma aurofrenatum,redband parrotfish,1,3.63321,Patch,80,5,49.07692307692308,0,0,demersal,shoaling,28,colourful,1,herbivore,fusiform,2014-09-16,20,1,153.93804,0.006496120127292773,2014-09-16,16,3,120,0.025,-0.018503879872707227,0.031496120127292776,-1.2437109676944544,18
142,BISC-P13a,Perciformes,Lutjanidae,Ocyurus chrysurus,yellowtail snapper,3,12.91456,Patch,80,5,49.07692307692308,0,0,demersal,schooling,86.3,colourful,0,carnivore,fusiform,2014-09-16,20,11.25,153.93804,0.0730813514320437,2014-09-16,16,12,120,0.1,-0.02691864856795631,0.1730813514320437,-0.3099566837965746,18
142,BISC-P13a,Perciformes,Labridae,Thalassoma bifasciatum,bluehead wrasse,2,7.533217,Patch,80,5,49.07692307692308,0,0,demersal,shoaling,25,colourful,0,planktivore,fusiform,2014-09-16,20,4.25,153.93804,0.027608510540994287,2014-09-16,16,5,120,0.041666666666666664,-0.014058156125672377,0.06927517720766095,-0.3997137303278411,18
142,BISC-P13a,Perciformes,Labridae,Sparisoma aurofrenatum,redband parrotfish,2,7.533217,Patch,80,5,49.07692307692308,0,0,demersal,shoaling,28,colourful,1,herbivore,fusiform,2014-09-16,20,4,153.93804,0.02598448050917109,2014-09-16,16,7,120,0.058333333333333334,-0.03234885282416224,0.08431781384250442,-0.7879093568347981,18
142,BISC-P13a,Perciformes,Pomacentridae,Stegastes partitus,bicolor damselfish,2,7.533217,Patch,80,5,49.07692307692308,0,0,demersal,solitary,10,colourful,0,omnivore,compressiform,2014-09-16,20,1,153.93804,0.006496120127292773,2014-09-16,16,1,120,0.008333333333333333,-0.0018372132060405603,0.014829453460626106,-0.219206651180067,18
142,BISC-P13a,Perciformes,Pomacentridae,Stegastes planifrons,threespot damselfish,2,7.533217,Patch,80,5,49.07692307692308,0,0,demersal,solitary,13,neutral,0,herbivore,compressiform,2014-09-16,20,1,153.93804,0.006496120127292773,2014-09-16,16,3,120,0.025,-0.018503879872707227,0.031496120127292776,-1.2437109676944544,18
142,BISC-P13a,Perciformes,Haemulidae,Haemulon plumierii,white grunt,5,24.92844,Patch,80,5,49.07692307692308,0,0,demersal,schooling,59,silvering,0,carnivore,compressiform,2014-09-16,20,1,153.93804,0.006496120127292773,2014-09-16,16,6,120,0.05,-0.04350387987270723,0.05649612012729278,-1.9174400623972985,18
