session,site,prey_date,prey_time
234,KL-W12,2015-10-24,1141
234,KL-W12,2015-10-24,1125
234,KL-W12,2015-10-24,1140
235,KL-W13,2015-10-24,1450
235,KL-W13,2015-10-24,1502
235,KL-W13,2015-10-24,1446
235,KL-W13,2015-10-24,1500
236,Conch 3A,2015-10-25,1620
236,Conch 3A,2015-10-25,1635
236,Conch 3A,2015-10-25,1615
237,Conch 6A,2015-10-25,1456
237,Conch 6A,2015-10-25,1506
237,Conch 6A,2015-10-25,1408
237,Conch 6A,2015-10-25,1456
237,Conch 6A,2015-10-25,1529
238,BISC-W30a,2015-10-26,1410
238,BISC-W30a,2015-10-26,1421
240,BISC-W60-6d,2015-10-26,1160
240,BISC-W60-6d,2015-10-26,1113
242,BISC-W13,2015-10-27,1256
242,BISC-W13,2015-10-27,1312
242,BISC-W13,2015-10-27,1253
242,BISC-W13,2015-10-27,1307
243,BISC-W60-11c,2015-10-27,1401
243,BISC-W60-11c,2015-10-27,1415
244,BISC-W60-4b,2015-10-27,1100
244,BISC-W60-4b,2015-10-27,1114
244,BISC-W60-4b,2015-10-27,1057
244,BISC-W60-4b,2015-10-27,1111
245,Conch 4B,2015-10-28,1012
245,Conch 4B,2015-10-28,1022
245,Conch 4B,2015-10-28,1008
245,Conch 4B,2015-10-28,1023
246,DANGER 88,2015-10-30,1526
246,DANGER 88,2015-10-30,1535
246,DANGER 88,2015-10-30,1520
246,DANGER 88,2015-10-30,1526
247,KL-P2,2015-10-30,943
247,KL-P2,2015-10-30,952
247,KL-P2,2015-10-30,940
247,KL-P2,2015-10-30,947
248,KL-P4,2015-10-30,1043
248,KL-P4,2015-10-30,1059
248,KL-P4,2015-10-30,1039
248,KL-P4,2015-10-30,1051
249,KL-P5,2015-10-30,1145
249,KL-P5,2015-10-30,1200
249,KL-P5,2015-10-30,1134
249,KL-P5,2015-10-30,NA
250,KL-P6,2015-10-30,1308
250,KL-P6,2015-10-30,1320
250,KL-P6,2015-10-30,1303
250,KL-P6,2015-10-30,1313
251,KL-P7,2015-10-31,1407
251,KL-P7,2015-10-31,1422
251,KL-P7,2015-10-31,1403
251,KL-P7,2015-10-31,1412
252,KL-P8,2015-10-31,1513
252,KL-P8,2015-10-31,1535
252,KL-P8,2015-10-31,1511
252,KL-P8,2015-10-31,1525
253,KL-30,2015-10-31,1628
253,KL-30,2015-10-31,1647
264,FKSP1,2015-12-11,1605
264,FKSP1,2015-12-11,1555
264,FKSP1,2015-12-11,1351
264,FKSP1,2015-12-11,1600
265,Ten 2A,2015-12-11,1435
265,Ten 2A,2015-12-11,1422
265,Ten 2A,2015-12-11,1417
265,Ten 2A,2015-12-11,NA
266,Ten 3A,2015-12-11,1140
266,Ten 3A,2015-12-11,1127
266,Ten 3A,2015-12-11,1020
266,Ten 3A,2015-12-11,1046
267,Ten 5A,2015-12-11,1308
267,Ten 5A,2015-12-11,1253
267,Ten 5A,2015-12-11,1046
267,Ten 5A,2015-12-11,1107
268,BISC-P12a,2015-12-15,945
268,BISC-P12a,2015-12-15,957
268,BISC-P12a,2015-12-15,936
268,BISC-P12a,2015-12-15,948
269,BISC-P13a,2015-12-15,1040
269,BISC-P13a,2015-12-15,1055
269,BISC-P13a,2015-12-15,1040
269,BISC-P13a,2015-12-15,1100
270,BISC-P14a,2015-12-15,1155
270,BISC-P14a,2015-12-15,1205
270,BISC-P14a,2015-12-15,1154
270,BISC-P14a,2015-12-15,1206
271,BISC-P15a,2015-12-15,1246
271,BISC-P15a,2015-12-15,1301
271,BISC-P15a,2015-12-15,1245
271,BISC-P15a,2015-12-15,1302
272,KL-P11,2015-12-15,1558
272,KL-P11,2015-12-15,1610
272,KL-P11,2015-12-15,1557
272,KL-P11,2015-12-15,1612
273,KL-P13,2015-12-15,1457
273,KL-P13,2015-12-15,1511
273,KL-P13,2015-12-15,1457
273,KL-P13,2015-12-15,1512
274,KL-P14,2015-12-15,1405
274,KL-P14,2015-12-15,1415
274,KL-P14,2015-12-15,1405
274,KL-P14,2015-12-15,1418
