session,site,SVC_date,SVC_dive_start,SVC_dive_end
149,BISC-P7a,2014-09-18,1356,1437
149,BISC-P7a,2014-09-18,1356,1437
149,BISC-P7a,2014-09-18,1356,1437
149,BISC-P7a,2014-09-18,1356,1437
149,BISC-P7a,2014-09-18,1356,1437
149,BISC-P7a,2014-09-18,1356,1437
149,BISC-P7a,2014-09-18,1356,1437
149,BISC-P7a,2014-09-18,1356,1437
149,BISC-P7a,2014-09-18,1356,1437
149,BISC-P7a,2014-09-18,1356,1437
150,BISC-P9a,2014-09-18,1538,1610
150,BISC-P9a,2014-09-18,1538,1610
150,BISC-P9a,2014-09-18,1538,1610
150,BISC-P9a,2014-09-18,1538,1610
150,BISC-P9a,2014-09-18,1538,1610
150,BISC-P9a,2014-09-18,1538,1610
150,BISC-P9a,2014-09-18,1538,1610
150,BISC-P9a,2014-09-18,1538,1610
150,BISC-P9a,2014-09-18,1538,1610
150,BISC-P9a,2014-09-18,1538,1610
150,BISC-P9a,2014-09-18,1538,1610
150,BISC-P9a,2014-09-18,1538,1610
150,BISC-P9a,2014-09-18,1538,1610
150,BISC-P9a,2014-09-18,1538,1610
150,BISC-P9a,2014-09-18,1538,1610
150,BISC-P9a,2014-09-18,1538,1610
150,BISC-P9a,2014-09-18,1538,1610
150,BISC-P9a,2014-09-18,1538,1610
151,BISC-W60-2b,2014-09-18,1228,1307
151,BISC-W60-2b,2014-09-18,1228,1307
151,BISC-W60-2b,2014-09-18,1228,1307
151,BISC-W60-2b,2014-09-18,1228,1307
151,BISC-W60-2b,2014-09-18,1228,1307
151,BISC-W60-2b,2014-09-18,1228,1307
151,BISC-W60-2b,2014-09-18,1228,1307
151,BISC-W60-2b,2014-09-18,1228,1307
151,BISC-W60-2b,2014-09-18,1228,1307
151,BISC-W60-2b,2014-09-18,1228,1307
151,BISC-W60-2b,2014-09-18,1228,1307
151,BISC-W60-2b,2014-09-18,1228,1307
151,BISC-W60-2b,2014-09-18,1228,1307
151,BISC-W60-2b,2014-09-18,1228,1307
151,BISC-W60-2b,2014-09-18,1228,1307
151,BISC-W60-2b,2014-09-18,1228,1307
151,BISC-W60-2b,2014-09-18,1228,1307
151,BISC-W60-2b,2014-09-18,1228,1307
151,BISC-W60-2b,2014-09-18,1228,1307
151,BISC-W60-2b,2014-09-18,1228,1307
151,BISC-W60-2b,2014-09-18,1228,1307
151,BISC-W60-2b,2014-09-18,1228,1307
151,BISC-W60-2b,2014-09-18,1228,1307
151,BISC-W60-2b,2014-09-18,1228,1307
151,BISC-W60-2b,2014-09-18,1228,1307
151,BISC-W60-2b,2014-09-18,1228,1307
151,BISC-W60-2b,2014-09-18,1228,1307
151,BISC-W60-2b,2014-09-18,1228,1307
151,BISC-W60-2b,2014-09-18,1228,1307
151,BISC-W60-2b,2014-09-18,1228,1307
151,BISC-W60-2b,2014-09-18,1228,1307
151,BISC-W60-2b,2014-09-18,1228,1307
151,BISC-W60-2b,2014-09-18,1228,1307
151,BISC-W60-2b,2014-09-18,1228,1307
