session,site,SVC_date,prey_date,pred_date,SVC_dive_start,SVC_dive_end,prey_time,pred_time_start,pred_time_end,,legend:,,unmatched date,,unmatched time,
231,KL-W8,2015-10-23,2015-10-23,2015-10-23,NA,NA,1454.166667,51870,52920,,,,,,,
232,BISC-W12,2015-10-24,2015-10-24,2015-10-24,NA,NA,1632,59340,60420,,,,,,,
233,KL-W11,2015-10-24,2015-10-24,2015-10-24,NA,NA,989.5,35490,36180,,,,,,,
234,KL-W12,2015-10-24,2015-10-24,2015-10-24,NA,NA,1133.5,41040,41820,,,,,,,
235,KL-W13,2015-10-24,2015-10-24,2015-10-24,NA,NA,1474.5,53340,54270,,,,,,,
236,Conch 3A,2015-10-25,2015-10-25,2015-10-25,NA,NA,1623.333333,58770,59730,,,,,,,
237,Conch 6A,2015-10-25,2015-10-25,2015-10-25,NA,NA,1471,52350,53850,,,,,,,
238,BISC-W30a,2015-10-26,2015-10-26,2015-10-26,NA,NA,1415.5,50700,51420,,,,,,,
240,BISC-W60-6d,2015-10-26,2015-10-26,2015-10-26,NA,NA,1136.5,39720,40530,,,,,,,
242,BISC-W13,2015-10-27,2015-10-27,2015-10-27,NA,NA,1282,46650,48000,,,,,,,
243,BISC-W60-11c,2015-10-27,2015-10-27,2015-10-27,NA,NA,1408,53850,54990,,,,,,,
244,BISC-W60-4b,2015-10-27,2015-10-27,2015-10-27,NA,NA,1095.5,39270,40350,,,,,,,
245,Conch 4B,2015-10-28,2015-10-28,2015-10-28,NA,NA,1016.25,36300,36930,,,,,,,
246,DANGER 88,2015-10-30,2015-10-30,2015-10-30,NA,NA,1526.75,55020,55380,,,,,,,
247,KL-P2,2015-10-30,2015-10-30,2015-10-30,NA,NA,945.5,34560,34800,,,,,,,
248,KL-P4,2015-10-30,2015-10-30,2015-10-30,NA,NA,1048,38400,38780,,,,,,,
249,KL-P5,2015-10-30,2015-10-30,2015-10-30,NA,NA,NA,42700,43680,,,,,,,
250,KL-P6,2015-10-30,2015-10-30,2015-10-30,NA,NA,1311,47060,47340,,,,,,,
